"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Abronia maritima","red sand-verbena","Nyctaginaceae","perennial herb","4.2","G4","S3?","None","None","Feb-Nov","Coastal dunes","","0","0","100","330","F","BA","ANA, LAX, ORA, SBA, SCM, SCT, SCZ, SDG, SLO, SMI, SNI, VEN","Imperial Beach (3211751), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), Encinitas (3311713), Oceanside (3311724), Las Pulgas Canyon (3311734), Newport Beach (3311768), Santa Catalina North (3311844), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island A (3311987), San Miguel Island East (3312083), San Miguel Island West (3312084), Triunfo Pass (3411818), Point Mugu (3411911), Ventura (3411933), Dos Pueblos Canyon (3411948), Point Conception (3412044), Point Arguello (3412056), Lompoc (3412064), Surf (3412065), Casmalia (3412075), Point Sal (3412086), Oceano (3512015), Morro Bay South (3512037), Morro Bay North (3512047), Cayucos (3512048)","","","","","","","","","","","","","Nearly extirpated in southern CA; more common to north?  Field surveys needed.  Hybridizes with A. latifolia and A. umbellata.  See Botany of California 2:4 (1880) for original description.","Abronia maritima Wats.","","PDNYC010E0","ABMA2","","","1994-01-01","","2019-02-08",
"Abronia villosa var. aurita","chaparral sand-verbena","Nyctaginaceae","annual herb","1B.1","G5T2?","S2","None","None","(Jan)Mar-Sep","Chaparral, Coastal scrub, Desert dunes","sandy","75","245","1600","5250","F","AZ, BA","IMP, LAX, ORA, RIV, SBD, SDG, VEN","Calexico (3211564), Seeley (3211576), Superstition Mtn. (3211587), Agua Caliente Springs (3211683), Iris (3311524), Durmid (3311547), Salton (3311548), Mortmar (3311558), Desert Center (3311564), Cottonwood Basin (3311568), East of Victory Pass (3311573), Earthquake Valley (3311614), Tubb Canyon (3311624), Ranchita (3311625), Collins Valley (3311644), Bucksnort Mtn. (3311645), Aguanga (3311647), Vail Lake (3311648), Valerie (3311652), Butterfly Peak (3311655), Anza (3311656), Sage (3311658), Thermal Canyon (3311661), Indio (3311662), La Quinta (3311663), Palm View Peak (3311665), Idyllwild (3311666), Blackburn Canyon (3311667), Hemet (3311668), Myoma (3311673), Cathedral City (3311674), Palm Springs (3311675), Lake Fulmor (3311677), San Jacinto (3311678), East Deception Canyon (3311683), Desert Hot Springs (3311685), White Water (3311686), Cabazon (3311687), Beaumont (3311688), Morro Hill (3311733), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Bachelor Mtn. (3311751), Murrieta (3311752), Winchester (3311761), Alberhill (3311764), Newport Beach (3311768), Lakeview (3311771), Perris (3311772), Lake Mathews (3311774), Corona South (3311775), Black Star Canyon (3311776), Orange (3311777), Anaheim (3311778), Riverside East (3311783), Corona North (3311785), Vidal (3411415), Lovejoy Buttes (3411757), Barstow (3411781), Hinkley (3411782), Oxnard (3411922)","98","0","7","9","8","7","67","39","59","91","1","6","Threatened by non-native plants, alteration of fire regimes, road maintenance, flood control activities, vehicles, and development.  See Bulletin of the Torrey Botanical Club 32(10):537 (1905) for original description, Flora of California 1:455 (1914) by W.L. Jepson for revised nomenclature, and Brittonia 27(4):340 (1995) for taxonomic treatment.","Abronia villosa Wats. var. aurita (Abrams) Jeps.","","PDNYC010P1","ABVIA","","","2001-01-01","","2011-09-13",
"Acanthomintha obovata ssp. cordata","heart-leaved thorn-mint","Lamiaceae","annual herb","4.2","G4T3","S3","None","None","Apr-Jul","Chaparral (openings), Cismontane woodland, Pinyon and juniper woodland, Valley and foothill grassland","clay","785","2575","1540","5050","T","","LAX, MNT, SBA, SLO, VEN","Lockwood Valley (3411961), San Guillermo (3411962), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Sawmill Mountain (3411972), Apache Canyon (3411973), Cuyama Peak (3411974), Wells Ranch (3511916), Caliente Mtn. (3511917), Chimineas Ranch (3511928), Cosio Knob (3612112)","","","","","","","","","","","","","Possibly threatened by vehicles and grazing.  See Madroño 38(4):278-286 (1991) for original description.","Acanthomintha obovata Jeps. ssp. cordata Jokerst","","PDLAM01033","ACOBC","","","1994-01-01","","2010-03-15",
"Acanthoscyphus parishii var. abramsii","Abrams' oxytheca","Polygonaceae","annual herb","1B.2","G4?T1T2","S1S2","None","None","Jun-Aug","Chaparral (sandy or shale)","","1143","3750","2057","6750","T","","SBA, VEN","Devils Heart Peak (3411858), Topatopa Mountains (3411951), Reyes Peak (3411963), Big Pine Mtn. (3411966), San Rafael Mtn. (3411967), Figueroa Mtn. (3411968), Cuddy Valley (3411971), Sawmill Mountain (3411972)","7","1","0","0","0","0","6","6","1","7","0","0","See Bulletin of the Torrey Botanical Club 36: 605 (1909) for original description, Harvard Papers in Botany 9(1): 144 (2004) for revised nomenclature, and Brittonia 32(1): 70-102 (1980) and Phytologia 66(4): 386-87 (1989) for taxonomic treatments.","Acanthoscyphus parishii (Parry) Small var. abramsii (E.A. McGregor) Reveal","Oxytheca parishii var. abramsii","PDPGN0J041","","","","1994-01-01","","2010-03-15",
"Acanthoscyphus parishii var. parishii","Parish's oxytheca","Polygonaceae","annual herb","4.2","G4?T3T4","S3S4","None","None","Jun-Sep","Chaparral, Lower montane coniferous forest","sandy or gravelly","1220","4000","2600","8530","T","","LAX, SBD, VEN","Moonridge (3411627), Big Bear Lake (3411628), Fawnskin (3411638), Keller Peak (3411721), Harrison Mtn. (3411722), Cucamonga Peak (3411725), Mt. Baldy (3411726), Butler Peak (3411731), Lake Arrowhead (3411732), Telegraph Peak (3411735), Mount San Antonio (3411736), Crystal Lake (3411737), Waterman Mtn. (3411738), Mescal Creek (3411746), Mt. Wilson (3411821), Chilao Flat (3411831), Pacifico Mountain (3411841), Acton (3411846), Val Verde (3411846), Alamo Mountain (3411868), Lion Canyon (3411952), San Guillermo (3411962), Reyes Peak (3411963)","","","","","","","","","","","","","See Oxytheca parishii var. parishii in The Jepson Manual (1993).  See Proceedings of the Davenport Academy of Natural Sciences 3: 176 (1882) for original description and Harvard Papers in Botany 9: 143-230 (2004) for revised nomenclature.","Acanthoscyphus parishii (Parry) Small var. parishii","","PDPGN0J044","","","","2007-04-09","","2010-03-15",
"Agrostis hooveri","Hoover's bent grass","Poaceae","perennial herb","1B.2","G2","S2","None","None","Apr-Jul","Closed-cone coniferous forest, Chaparral, Cismontane woodland, Valley and foothill grassland","usually sandy","6","15","610","2000","T","","SBA, SLO","Los Olivos (3412061), Zaca Creek (3412062), Lompoc (3412064), Surf (3412065), Sisquoc (3412073), Orcutt (3412074), Casmalia (3412075), Oceano (3512015), Tar Spring Ridge (3512024), Arroyo Grande NE (3512025), Pismo Beach (3512026), Port San Luis (3512027), Santa Margarita Lake (3512034), Lopez Mtn. (3512035), Morro Bay South (3512037), Adelaida (3512067)","31","1","3","2","0","1","24","23","8","30","0","1","Threatened by development, vegetation clearing, and non-native plants.","Agrostis hooveri Swall.","","PMPOA040M0","AGHO","","","1974-01-01","","2016-03-24",
"Allium howellii var. clokeyi","Mt. Pinos onion","Alliaceae","perennial bulbiferous herb","1B.3","G4T2","S2","None","None","Apr-Jun","Great Basin scrub, Meadows and seeps (edges), Pinyon and juniper woodland","","1300","4265","1850","6070","T","","KRN, LAX, SBA, SBD, VEN","Lake Arrowhead (3411732), Warm Springs Mountain (3411855), Liebre Mtn. (3411866), Black Mtn. (3411867), Frazier Mtn. (3411878), Wheeler Springs (3411953), Lockwood Valley (3411961), San Guillermo (3411962), Reyes Peak (3411963), Cuddy Valley (3411971), Sawmill Mountain (3411972), Apache Canyon (3411973), Cuyama Peak (3411974), Hurricane Deck (3411977), Ballinger Canyon (3411984), New Cuyama (3411986), Tehachapi South (3511814)","25","2","2","0","0","0","21","16","9","25","0","0","Threatened by mining, road maintenance, and vehicles.  Possibly threatened by grazing and trampling.","Allium howellii Eastw. var. clokeyi Traub","","PMLIL02161","ALHOC","","","1974-01-01","","2014-08-08",
"Amsinckia douglasiana","Douglas' fiddleneck","Boraginaceae","annual herb","4.2","G4","S4","None","None","Mar-May","Cismontane woodland, Valley and foothill grassland","Monterey shale, dry","0","0","1950","6400","T","","KRN, MNT, SBA, SBT, SLO, VEN","Murrieta (3311752), Goleta (3411947), Dos Pueblos Canyon (3411948), Wheeler Springs (3411953), Little Pine Mtn. (3411956), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Figueroa Mtn. (3411968), Salisbury Potrero (3411976), Eagle Rest Peak (3411982), Los Olivos (3412061), Zaca Creek (3412062), Zaca Lake (3412071), Sisquoc (3412073), Keene (3511825), Bena (3511836), Taylor Canyon (3511918), Chimineas Ranch (3511928), Miranda Pine Mtn. (3512011), Oceano (3512015), California Valley (3512031), La Panza (3512032), La Panza NE (3512041), La Panza Ranch (3512042), Camatta Ranch (3512043), Wilson Corner (3512044), Creston (3512055), Templeton (3512056), Orchard Peak (3512062), Cholame (3512063), Paso Robles (3512066), Adelaida (3512067), Bradley (3512077), Tierra Redonda Mountain (3512078), Valleton (3512086), Hames Valley (3512088), Bryson (3512171), Burnett Peak (3512172), Williams Hill (3512181), Jolon (3512182), Lonoak (3612038), Espinosa Canyon (3612111), Cosio Knob (3612112), San Lucas (3612121), Thompson Canyon (3612122), Sycamore Flat (3612134), Chews Ridge (3612135), North Chalone Peak (3612142), Mount Johnson (3612153), Gonzales (3612154), Paicines (3612163)","","","","","","","","","","","","","Possibly threatened by agriculture.","Amsinckia douglasiana A. DC.","","PDBOR01010","AMDO","","","2007-08-20","","2010-03-15",
"Ancistrocarphus keilii","Santa Ynez groundstar","Asteraceae","annual herb","1B.1","G1","S1","None","None","Mar-Apr","Chaparral, Cismontane woodland","sandy","40","130","130","425","T","","SBA","Solvang (3412052), Santa Rosa Hills (3412053), Los Alamos (3412063), Lompoc (3412064), Surf (3412065)","2","0","0","0","0","0","2","2","0","2","0","0","Known only from the recent type locality and one ambiguous historical collection, all in the Santa Ynez River drainage.  Not in The Jepson Manual.  See Novon 14(4):464 (2004) for original description.","Ancistrocarphus keilii Morefield","","PDASTD5020","","","","2005-01-01","","2010-03-15",
"Anomobryum julaceum","slender silver moss","Bryaceae","moss","4.2","G5?","S2","None","None","","Broadleafed upland forest, Lower montane coniferous forest, North Coast coniferous forest","damp rock and soil on outcrops, usually on roadcuts","100","325","1000","3280","F","OR","BUT, CCA, HUM, LAX, MPA, SBA, SCR, SHA, SON","Waterman Mtn. (3411738), San Marcos Pass (3411957), Yosemite Falls (3711975), Diablo (3712178), Clayton (3712188), Felton (3712211), Big Basin (3712222), Franklin Point (3712223), Mark West Springs (3812256), Pulga (3912174), Olinda (4012244), Igo (4012255), Ferndale (4012453), Weitchpec (4112326)","13","0","2","0","0","0","11","5","8","13","0","0","Infrequent in CA but abundant in much of its range.  See Pl. Crypt. Brit. Fasc. 4:16 (1801) for original description, and Bryothr. Eur. 25:331 (1873) for revised nomenclature.","Anomobryum julaceum (Schrad. ex P. Gaertn., B. Mey. & Scherb) Schimp.","Anomobryum filiforme","NBMUS80010","ANFI4","","","2001-01-01","","2014-09-02",
