"","OBJECTID","Institution_Code","Catalog_Number","Scientific.Name","Collector","Collector_Num_Prefix","Collector_Num","Collector_Num_Suffix","early_J_date","late_J_date","Date_Collected","County","Elevation","Locality","Latitude","Longitude","Datum","Link_Back","Column1","Common.Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming.Period","Habitat","Micro.Habitat","Elevation.Low..m.","Elevation.Low..ft.","Elevation.High..m.","Elevation.High..ft.","CA.Endemic","States","Counties","Quads","EO.Total","EO.A","EO.B","EO.C","EO.D","EO.X","EO.U","EO.Historical","EO.Recent","EO.Extant","EO.Possibly.Extirpated","EO.Extirpated","Notes","Full.Scientific.Name","Synonyms","Element.Code","USDA.PLANTS.Symbol","Flora.Status","CBR.Reason","Date.Added","Date.Changed","Last.Update","X"
"1",7,"CAS-BOT-BC","CAS-BOT-BC79578","Quercus dumosa","Henry M. Pollard","s.n.",NA,"",2432224,2432224,"Feb. 7, 1947","Ventura","","Forest servive road, Wheelers to Nordhoff Peak",34.494629,-119.269626,"Geolocate (copied from A350309)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC79578"" target=""_blank"">View Details</a>",NA,"Nuttall's scrub oak","Fagaceae","perennial evergreen shrub","1B.1","G3","S3","None","None","Feb-Apr(May-Aug)","Closed-cone coniferous forest, Chaparral, Coastal scrub","sandy, clay loam",15,45,400,1310,FALSE,"BA","LAX, ORA, SBA, SDG, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), Margarita Peak (3311744), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Hollywood (3411813), Beverly Hills (3411814), Triunfo Pass (3411818), Newbury Park (3411828), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946)",180,11,14,14,3,3,135,47,133,177,1,2,"Threatened by development, fire suppression, and vegetation/fuels management.  Possibly threatened by hybridization with Q. berberidifolia.  Widespread scrub oak from much of cismontane CA, previously called Q. dumosa, is now Q. berberidifolia.","Quercus dumosa Nutt.","","PDFAG050D0","QUDU",NA,NA,"1994-01-01","","2012-05-17",NA
"2",28,"RSA","RSA587670","Juglans californica","H. M. Pollard","s.n.",NA,"",2433834,2433834,"1951-07-06","Santa Barbara","","Sycamore Canyon Road at Chelham Way, foothills N of Santa Barbara.",34.439,-119.675,"NAD27","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA587670"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
"3",50,"CAS-BOT-BC","CAS-BOT-BC101944","Juglans californica","Henry M. Pollard","s.n.",NA,"",2440875,2440875,"October 15, 1970","Ventura","","on flat of San Antonio Creek north of and near Rancho Arnaz, Oak View",34.391,-119.296,"Terrain Nav. v. 8.7 (copied from SBBG39102)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC101944"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
"4",101,"SBBG","SBBG123397","Lepechinia rossii","L. Gross","",2791,"",2454258,2454258,"6-Jun-2007","Ventura","213m","Pine Cyn, N of Fillmore",34.4483,-118.9663,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG123397"" target=""_blank"">View Details</a>",NA,"Ross' pitcher sage","Lamiaceae","perennial shrub","1B.2","G1","S1","None","None","May-Sep","Chaparral","",305,1000,790,2590,TRUE,"","LAX, VEN","Fillmore (3411848), Green Valley (3411854), Warm Springs Mountain (3411855)",3,0,0,0,0,0,3,1,2,3,0,0,"Potentially threatened by logging and mining.  See Madrono 53(1): 77-84 (2006) for original description.","Lepechinia rossii S. Boyd & O. Mistretta","","PDLAM0V060","LERO8",NA,NA,"2006-10-26","","2010-03-15",NA
"5",209,"SBBG","SBBG69715","Calandrinia breweri","R. Hoffmann","",NA,"",2426785,2426785,"18-Mar-1932","Santa Barbara","","Cold Springs Cyn",34.459,-119.653,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG69715"" target=""_blank"">View Details</a>",NA,"Brewer's calandrinia","Montiaceae","annual herb","4.2","G4","S4","None","None","(Jan)Mar-Jun","Chaparral, Coastal scrub","sandy or loamy, disturbed sites and burns",10,30,1220,4005,FALSE,"BA","CCA, LAX, MEN, MNT, MPA, MRN, NAP, ORA, RIV, SBA, SBD, SCL, SCR, SCZ, SDG, SHA, SLO, SMT, SON, SRO, VEN","Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Poway (3211781), Vail Lake (3311648), Black Star Canyon (3311776), Santa Rosa Island North (3312081), Topanga (3411815), Matilija (3411943), Goleta (3411947), Santa Ynez (3412051), Pismo Beach (3512026), Villa Creek (3512174), Cape San Martin (3512184), Bear Canyon (3612113), Partington Ridge (3612126), Coulterville (3712062), Laurel (3712118), Antioch South (3712187), Clayton (3712188), Cupertino (3712231), Mindego Hill (3712232), Palo Alto (3712242), Woodside (3712243), San Rafael (3712285), Clarksville (3812161), Mt. George (3812232), Napa (3812233), Kenwood (3812245)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Potentially threatened by development.  Possibly threatened by fire suppression and road maintenance.  Plant appears to be widely scattered but uncommon everywhere, and most collections are old; needs field surveys.  See Proceedings of the American Academy of Arts and Sciences 11:124 (1876) for original description.","Calandrinia breweri Wats.","","PDPOR01020","CABR3",NA,NA,"1994-01-01","","2015-07-24",NA
"6",212,"CHSC","CHSC22796","Quercus dumosa","Robert A. Schlising","",2464,"",2438113,2438113,"1963-03-24","Ventura","","About 1.0 miles north of Wheeler Hot Springs along Hwy 399; between road and stream.",34.505278,-119.278056,"NAD 1983","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC22796"" target=""_blank"">View Details</a>",NA,"Nuttall's scrub oak","Fagaceae","perennial evergreen shrub","1B.1","G3","S3","None","None","Feb-Apr(May-Aug)","Closed-cone coniferous forest, Chaparral, Coastal scrub","sandy, clay loam",15,45,400,1310,FALSE,"BA","LAX, ORA, SBA, SDG, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), Margarita Peak (3311744), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Hollywood (3411813), Beverly Hills (3411814), Triunfo Pass (3411818), Newbury Park (3411828), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946)",180,11,14,14,3,3,135,47,133,177,1,2,"Threatened by development, fire suppression, and vegetation/fuels management.  Possibly threatened by hybridization with Q. berberidifolia.  Widespread scrub oak from much of cismontane CA, previously called Q. dumosa, is now Q. berberidifolia.","Quercus dumosa Nutt.","","PDFAG050D0","QUDU",NA,NA,"1994-01-01","","2012-05-17",NA
"7",232,"UCSB","UCSB991","Juglans californica","Haller, John","",NA,"",2437028,2437028,"1960-04-03","Ventura","304 m","along Calif highway 150; 7 miles north of Santa Paula; 10 miles east of Ojai",34.429059,-119.117208,"WGS84","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB991"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
"8",233,"UCR","UCR66539","Layia heterotricha","C. B. Wolf","",6929,"",2427944,2427944,"1935-May-21","Ventura","1341 m","Santa Inez Mtns, Ojai to Cuyama Valley Road, Pine Mtn, upper Sespe Creek, 3.6 mi. south of summit of Pine Mtn. Grade",34.60889,-119.36528,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR66539"" target=""_blank"">View Details</a>",NA,"pale-yellow layia","Asteraceae","annual herb","1B.1","G2","S2","None","None","Mar-Jun","Cismontane woodland, Coastal scrub, Pinyon and juniper woodland, Valley and foothill grassland","alkaline or clay",300,980,1705,5595,TRUE,"","FRE, KNG, KRN, LAX, MNT, SBA, SBT, SLO, VEN","Matilija (3411943), Goleta (3411947), Wheeler Springs (3411953), Lake Cachuma (3411958), Lockwood Valley (3411961), San Guillermo (3411962), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Cuddy Valley (3411971), Sawmill Mountain (3411972), Apache Canyon (3411973), Cuyama Peak (3411974), Fox Mountain (3411975), Salisbury Potrero (3411976), Pleito Hills (3411981), Ballinger Canyon (3411984), Bates Canyon (3411988), Lompoc (3412064), Surf (3412065), Casmalia (3412075), Freeman Junction (3511758), Mojave (3511812), Monolith (3511813), Tehachapi South (3511814), Tehachapi NE (3511823), Tehachapi North (3511824), Elkhorn Hills (3511915), Wells Ranch (3511916), Caliente Mtn. (3511917), Taylor Canyon (3511918), Panorama Hills (3511926), Chimineas Ranch (3511928), Reward (3511936), McKittrick Summit (3511937), Simmler (3511938), Carneros Rocks (3511947), Las Yeguas Ranch (3511948), California Valley (3512031), La Panza (3512032), Camatta Ranch (3512043), Wilson Corner (3512044), Orchard Peak (3512062), Cholame (3512063), Tent Hills (3512072), Cholame Valley (3512073), Tierra Redonda Mountain (3512078), Garza Peak (3512082), The Dark Hole (3512083), Hames Valley (3512088), Bryson (3512171), Burnett Peak (3512172), Curry Mountain (3612014), Smith Mountain (3612015), Coalinga (3612023), Monarch Peak (3612027), Nattrass Valley (3612028), Domengine Ranch (3612033), Joaquin Rocks (3612034), Santa Rita Peak (3612035), Lonoak (3612038), Lillis Ranch (3612044), Ciervo Mtn. (3612045), Rock Spring Peak (3612048), Tumey Hills (3612056), Panoche (3612057), Bear Canyon (3612113), San Lucas (3612121), Thompson Canyon (3612122), Greenfield (3612132)",125,21,12,1,8,1,82,51,74,124,0,1,"Threatened by agricultural conversion and previous construction of San Antonio Reservoir, grazing, non-native plants, and vehicles.  Potentially threatened by road maintenance and wind energy development.","Layia heterotricha (DC.) H. & A.","","PDAST5N070","LAHE",NA,NA,"1994-01-01","","2011-11-22",NA
"9",239,"UCSB","UCSB64252","Fritillaria ojaiensis","Magney, David; Wellonen, Cher","",NA,"",2451313,2451313,"1999-05-14","Ventura","530 m","Western Transverse Ranges; Wheeler Springs Quad.; SW1/4, SE1/4, S15, T5N, R23W; San Bernardino BM; Nordhoff Ridge; North Fork Matilija Creek, Wheeler Gorge",34.5069167,-119.2752167,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB64252"" target=""_blank"">View Details</a>",NA,"Ojai fritillary","Liliaceae","perennial bulbiferous herb","1B.2","G3","S3","None","None","Feb-May","Broadleafed upland forest (mesic), Chaparral, Cismontane woodland, Lower montane coniferous forest","rocky",225,735,998,3275,TRUE,"","MNT, SBA, SLO, VEN","Santa Paula Peak (3411941), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Lion Canyon (3411952), Wheeler Springs (3411953), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Lake Cachuma (3411958), Bald Mountain (3411978), Santa Ynez (3412051), Solvang (3412052), Zaca Lake (3412071), Tepusquet Canyon (3412082), Santa Margarita Lake (3512034), Lopez Mtn. (3512035), San Luis Obispo (3512036), Atascadero (3512046), Morro Bay North (3512047), Cypress Mountain (3512058), Pebblestone Shut-in (3512161), Burro Mountain (3512173), Alder Peak (3512183)",49,2,10,1,1,0,35,20,29,49,0,0,"Possibly threatened by road maintenance and recreational activities.  Closely related to F. affinis.","Fritillaria ojaiensis A. Davids.","","PMLIL0V0N0","FROJ",NA,NA,"1980-01-01","","2014-07-30",NA
"10",265,"RSA","RSA115285","Ribes amarum var. hoffmannii","H. M. Pollard","s.n.",NA,"",2435520,2435520,"1956-02-16","Santa Barbara","","Ratlesnake Canyon",34.4667,-119.687,"NAD83","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA115285"" target=""_blank"">View Details</a>",NA,"Hoffmann's bitter gooseberry","Grossulariaceae","perennial deciduous shrub","3","G4?T3","S3","None","None","Mar-Apr","Chaparral, Riparian woodland","",5,15,1190,3905,TRUE,"","SBA, VEN","Julian (3311615), Santa Barbara (3411946), Santa Ynez (3412051)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Move to List 1B?  Location, rarity, and endangerment information needed.  Expected to only occur in the Santa Ynez Mtns., but plants are also recorded from the San Rafael Mtns.  Taxonomic distinctiveness from R. amarum is uncertain; needs further study.  Possibly threatened by non-native plants.  A synonym of R. amarum in TJM (1993) and TJM 2.","Ribes amarum McClat. var. hoffmannii Munz","","PDGRO02012","RIAM",NA,NA,"1984-01-01","","2014-07-30",NA
