OBJECTID,SciName,ComName,TaxonGroup,ElmCode,FedList,CalList,GRank,SRank,RPlantRank,OthrStatus,OccNumber,EOndx,Mapndx,ElmDate,SiteDate,Sensitive,OccRank,Presence,Accuracy,AccuracyOrder,Trend,OccType,County,Quad,Elevation,Latitude,Longitude,UTM,PLSS,Location,LocDetails,Ecological,ThreatList,Threat,General_,OwnerMgt,LastUpdate,KeyQuad,UTMZone,UTME,UTMN
1,Atriplex coulteri,Coulter's saltbush,Dicots,PDCHE040E0,None,None,G3,S1S2,1B.2,SB_RSABG-Rancho Santa Ana Botanic Garden,15,163,27647,19271127,19271127,N,U-Unknown,Presumed Extant,Circular feature with a 1600 meter radius (1 mile),90,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944) | Carpinteria (3411945),,34.39503,-119.5137,Zone-11 N3808822 E268917,"T04N, R25W, Sec. 28 (S)","CARPINTERIA, ALONG OCEAN BLUFF.",,,,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 1927 COLLECTION BY MASON. NEEDS FIELDWORK.,UNKNOWN,7/7/2014 12:00:00 AM,Carpinteria (3411945),11,268917,3808822
2,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,8,769,27677,19230724,19230724,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944) | Carpinteria (3411945),900,34.42659,-119.50215,Zone-11 N3812296 E270066,"T04N, R25W, Sec. 16, SE (S)",FRANKLIN CANYON TRAIL BEYOND CARPINTERIA.,MAPPED BY CNDDB AS BEST GUESS AROUND THE PORTION OF FRANKLIN TRAIL AT ABOUT 900 FEET IN ELEVATION BASED ON ELEVATION ON COLLECTION LABEL.,"ON OPEN, DRY HILLSIDES.",,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS 1923 COLLECTION BY GRANT. NEEDS FIELDWORK.,UNKNOWN,7/13/2011 12:00:00 AM,Carpinteria (3411945),11,270066,3812296
3,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,7,770,27676,19520705,19520705,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),2000,34.46638,-119.58917,Zone-11 N3816911 E262180,"T05N, R26W, Sec. 34 (S)","ROMERO CANYON ROAD, VICINITY OF SANTA BARBARA.","ROMERO CANYON ROAD COLLECTION MADE AT ABOUT 2000' ELEVATION. COLLECTION FROM ""FOOTHILLS BACK OF MONTECITO, JUST EAST OF ROMERO CANYON"" IS ALSO ATTRIBUTED TO THIS SITE.","DRY RIDGES, GRAVEL SOIL.",,,SITE REPORTED FROM TWO COLLECTIONS; POLLARD SN (CAS) FROM 1952 AND PAYNE #9017 (RSA) FROM 1937.,USFS-LOS PADRES NF,12/5/1995 12:00:00 AM,Carpinteria (3411945),11,262180,3816911
4,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,11,887,27650,,,N,U-Unknown,Presumed Extant,Circular feature with a 1600 meter radius (1 mile),90,Unknown,Natural/Native occurrence,Santa Barbara | Ventura,Old Man Mountain (3411954),,34.5166,-119.45528,Zone-11 N3822175 E274617,"T05N, R25W (S)",OLD MAN MOUNTAIN.,,,,,"ONLY SOURCE OF INFORMATION FOR THIS SITE IS UNDATED, ANONYMOUS COLLECTION CITED BY MAGNEY.",UNKNOWN,12/5/1995 12:00:00 AM,Old Man Mountain (3411954),11,274617,3822175
5,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,1,1658,26515,,,N,A-Excellent,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),500,34.42837,-119.57005,Zone-11 N3812650 E263830,"T04N, R26W, Sec. 14, E (S)","WEST OF TORO CANYON ROAD ABOUT 1 MILE NORTH OF HIGHWAY 101, NORTHWEST OF CARPINTERIA.",,"CHAPARRAL WITH MANY DOMINANTS INCLUDING CEANOTHUS MEGACARPUS, C. SPINOSUS, COMAROSTAPHYLIS DIVERSIFOLIA, AND CALOCHORTUS CATALINAE.",,,50-100 PLANTS OBSERVED IN 1990-1992. SITE IS WITHIN A 90 ACRE PRIVATE PARCEL (SANTA BARBARA BOTANIC GARDEN IS CARETAKER).,PVT,10/11/1995 12:00:00 AM,Carpinteria (3411945),11,263830,3812650
6,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,2,1659,26516,19920530,19920530,N,A-Excellent,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1200,34.44124,-119.5354,Zone-11 N3813997 E267051,"T04N, R25W, Sec. 07, SE (S)","BETWEEN ARROYO PAREDON AND SANTA MONICA CANYON ALONG PRIVATE ROAD, ABOUT 3 MILES NNW OF CARPINTERIA.",MAPPED MOSTLY WITHIN THE SE 1/4 OF SECTION 7 AND THE SE 1/4 OF THE NE 1/4 OF SECTION 7.,"CHAPARRAL ON SESPE FORMATION SOILS. ASSOCIATED WITH CEANOTHUS MEGACARPUS, MALACOTHAMNUS FASCICULATUM, CALOCHORTUS CATALINAE, TAUSCHIA HARTWEGII, AND SCUTELLARIA TUBEROSA. UP TO 75-80% COVER BY QUERCUS DUMOSA.",Development,POSSIBLE DEVELOPMENT.,THOUSANDS OF PLANTS OBSERVED IN 1992.,PVT,11/27/1995 12:00:00 AM,Carpinteria (3411945),11,267051,3813997
7,Lasthenia glabrata ssp. coulteri,Coulter's goldfields,Dicots,PDAST5L0A1,None,None,G4T2,S2,1B.1,BLM_S-Sensitive | SB_RSABG-Rancho Santa Ana Botanic Garden | SB_SBBG-Santa Barbara Botanic Garden,5,7043,23834,19470225,19470225,N,U-Unknown,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),15,34.39555,-119.5256,Zone-11 N3808907 E267825,"T04N, R25W, Sec. 29, SW (S)","CARPINTERIA; ASH STREET NEAR 3RD STREET, AS WELL AS LINDEN AVE NEAR OCEAN.","EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB TO ENCOMPASS TWO HISTORICAL LOCALITIES CITED IN 1976 SMITH FLORA OF SANTA BARBARA: ""ASH STREET NEAR 3RD ST"" AND ""LINDEN AVE NEAR OCEAN"".",MARSH.,,,SITE BASED ON TWO 1947 SMITH COLLECTIONS FROM CARPINTERIA. NEEDS FIELDWORK.,UNKNOWN,5/20/2019 12:00:00 AM,Carpinteria (3411945),11,267825,3808907
8,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,9,14915,27675,20110310,20110310,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3600,34.49439,-119.70537,Zone-11 N3820298 E251588,"T05N, R27W, Sec. 22, SW (S)","ALONG EAST CAMINO CIELO APPROXIMATELY 0.4 AIR MILE EAST OF LA CUMBRE PEAK LOOKOUT, SANTA YNEZ MOUNTAINS.",NORTH SIDE OF ROAD. MAPPED BY CNDDB AS 2 POLYGONS ACCORDING TO 2011 CHRISTOPHER COORDINATES IN THE FAR SW 1/4 SW 1/4 OF SECTION 22 AND THE FAR SE 1/4 SE 1/4 OF SECTION 21.,ROADSIDE. IN DRYING GRASS AND CHAPARRAL; IN AREA WITHOUT A LOT OF COMPETITION. GRANITIC SOIL.,Road/trail construction/maint. | Wood cutting or brush clearing,"FLAGGED & AVOIDED DURING LOS PADRES NF ROADSIDE BRUSHING PROJECTS; HOWEVER, SBA COUNTY ALSO REGULARLY BRUSHES ROADSIDE.","UNKNOWN NUMBER OBSERVED IN 2011. OBSERVED IN 1983 ""0.6 MI E OF THE SHORT SPUR ROAD UP TO THE PEAK."" 1943 AND 1944 SMITH COLLECTIONS FROM ""EL CAMINO CIELO NEAR LA CUMBRE PEAK"" AND ""LA CUMBRE PEAK"" ARE ALSO ATTRIBUTED TO THIS OCCURRENCE.",USFS-LOS PADRES NF,8/25/2014 12:00:00 AM,Santa Barbara (3411946),11,251588,3820298
9,Thelypteris puberula var. sonorensis,Sonoran maiden fern,Ferns,PPTHE05192,None,None,G5T3,S2,2B.2,USFS_S-Sensitive,9,15648,80224,19911218,19911218,N,U-Unknown,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1200,34.46949,-119.7049,Zone-11 N3817534 E251556,"T05N, R27W, Sec. 34, SW (S)","LOWER MISSION CANYON; NEAR TUNNEL PORTAL, SANTA YNEZ MOUNTAINS.","MAPPED BY CNDDB NEAR THE CREEK JUNCTION JUST EAST OF ""SOUTH PORTAL"" ON TOPO MAP. BASED MAINLY ON COLLECTIONS FROM ""JCT OF CREEKS E OF TUNNEL PORTAL IN MISSION CYN"" AND ""JCT OF E AND W BRANCH OF MISSION CYN JUST BELOW THE TUNNEL.""","MOIST, ROCKY BANK UNDER ALDER TREES.",,,"SITE IS BASED ON COLLECTIONS FROM 1936, 1943, 1962, AND 1991.",UNKNOWN,10/26/2017 12:00:00 AM,Santa Barbara (3411946),11,251556,3817534
10,Thelypteris puberula var. sonorensis,Sonoran maiden fern,Ferns,PPTHE05192,None,None,G5T3,S2,2B.2,USFS_S-Sensitive,8,15660,28072,19780324,19780324,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1000,34.45274,-119.59066,Zone-11 N3815402 E262005,"T04N, R26W, Sec. 03, S (S)","LOWER ROMERO CANYON; ROMERO CREEK AT MOUNTAIN DRIVE, SANTA YNEZ MOUNTAINS.","MAPPED BY CNDDB AS BEST GUESS ALONG THE PORTION OF ROMERO CREEK ON EITHER SIDE OF BELLA VISTA DRIVE (FURTHER TO THE WEST, BELLA VISTA DRIVE TURNS INTO PARK LANE AND THEN E MOUNTAIN DRIVE).",CREEK BOTTOM.,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1978 JUNAK COLLECTION. NEEDS FIELDWORK.,UNKNOWN,10/4/2010 12:00:00 AM,Carpinteria (3411945),11,262005,3815402
